mg_id,indicator,direction,model,hp_set_id,num_iterations,learning_rate,num_leaves,min_data_in_leaf,bagging_freq,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
1,v2x_veracc_osp,up,lightgbm,run-04_lightgbm_hp-01,70,0.3623894768464379,39,6,5,0.6801810378208757,0.8820462083444,0,0.24539432814344764,0.08527131782945736,3.6139737768459006,0.27207810986262454,0.9275808936825886,0.5439317378698848,0.03451676528599606,3.8209347687824864,0.22823305944072217,0.7812928644389319,0.08205879028949634,1.9450000000001637
2,v2x_veracc_osp,up,lightgbm,run-04_lightgbm_hp-02,56,0.2574650594149716,58,26,3,0.7229698250070214,0.9786241568624974,0.6468865787610412,0,0.08527131782945736,3.587987656246059,0.22276418614871027,0.919214657164869,0.5071940844298441,0.03451676528599606,3.796416432363815,0.19649327641586622,0.7439077776156428,0.06495564115896951,1.735000000000582
3,v2x_veracc_osp,up,lightgbm,run-04_lightgbm_hp-03,191,0.1654616677411832,24,48,0,1,0.9857727057766169,0,0.7158342453185469,0.08527131782945736,3.5928377531699573,0.2341565977419849,0.9297958397534669,0.5399317543973107,0.03451676528599606,3.8164884771114287,0.19812725948683302,0.7632569677513498,0.07128090487264283,2.9750000000000227
4,v2x_veracc_osp,up,lightgbm,run-04_lightgbm_hp-04,23,0.15842381489695984,57,18,0,1,0.8239631286356599,0.7414035710971802,0.3778655456844717,0.08527131782945736,3.52917809138379,0.1922358800584257,0.9130934610939908,0.47017658842998544,0.03451676528599606,3.7438592862681563,0.15821686681944938,0.7399387129724209,0.06479899637883337,0.9389999999999645
5,v2x_veracc_osp,up,lightgbm,run-04_lightgbm_hp-05,113,0.038188847575802355,35,21,0,1,0.9979859146289527,0,0.858040323946625,0.08527131782945736,3.5225396901026085,0.1858031612636598,0.920629092835131,0.46992168859454864,0.03451676528599606,3.7347935599321085,0.15431421808879792,0.7437618561214067,0.0645280725188529,2.7739999999998872
6,v2x_veracc_osp,up,lightgbm,run-04_lightgbm_hp-06,89,0.2735980339464732,18,15,2,0.9164390639401973,0.8019412759691478,0.022190765710547566,0.7928124840836972,0.08527131782945736,3.5726889544835294,0.20867107219975758,0.9217185092449923,0.49668095868618445,0.03451676528599606,3.78786767139349,0.18646596951759994,0.7568947906026557,0.06542109854766948,1.7559999999998581
7,v2x_veracc_osp,up,lightgbm,run-04_lightgbm_hp-07,117,0.13440336282830687,14,27,4,0.9473528051748872,0.9905648330226541,0,0.1339533922728151,0.08527131782945736,3.5395652475165824,0.18333457324064983,0.9273882896764253,0.5179259780635133,0.03451676528599606,3.75631346622637,0.16033922184035995,0.7657814096016343,0.06879387666605977,1.4869999999991705
8,v2x_veracc_osp,up,lightgbm,run-04_lightgbm_hp-08,115,0.19942238819319758,10,28,0,1,0.8529662027023733,0.39706438151188195,0.8021819700952619,0.08527131782945736,3.5293832131498637,0.1923434542928303,0.9142791795069337,0.4803959860064517,0.03451676528599606,3.7293788679800954,0.17257148249484203,0.7560776302349336,0.06431656409871174,1.240000000000009
9,v2x_veracc_osp,up,lightgbm,run-04_lightgbm_hp-09,89,0.21561369345756248,52,12,0,1,0.895306737208739,0.1190761171746999,0,0.08527131782945736,3.60119426321713,0.24096662304820657,0.9355739599383667,0.5946471945589693,0.03451676528599606,3.8159814671008414,0.2319089645885956,0.7561651831314753,0.07518555735915268,2.99799999999982
10,v2x_veracc_osp,up,lightgbm,run-04_lightgbm_hp-10,80,0.28391688733827325,13,26,0,1,0.9272080348338931,0.5197851890698075,0.65830731485039,0.08527131782945736,3.5495189048779343,0.18881320271692575,0.9260641371340524,0.5083054128756702,0.03451676528599606,3.7673855948359933,0.16296990895802246,0.7675762439807383,0.07065357842269614,1.2980000000000018
