mg_id,indicator,direction,model,hp_set_id,num_iterations,learning_rate,num_leaves,min_data_in_leaf,bagging_freq,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
1,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-01,171,0.35537058105226604,10,35,4,0.6668546725064516,0.8073807650711388,0,0,0.08914728682170543,3.6084145338811595,0.18534312016521393,0.9458718778908418,0.6737685672139562,0.03451676528599606,3.794659601654516,0.2162711621446653,0.7478476579600175,0.06444486261659486,1.4839999999999804
2,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-02,98,0.118222042247653,70,31,5,0.7990519486367702,0.8566851677838714,0,0.475494617363438,0.08914728682170543,3.606788572680999,0.17097853657011813,0.95263644773358,0.6741258654029785,0.03451676528599606,3.830709605921403,0.18771756268794085,0.7584707427404056,0.06749445598133126,2.421999999999997
3,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-03,85,0.7398273452324793,19,34,0,1,0.8388531201519073,0,0,0.08914728682170543,3.625673001274905,0.2524247127451715,0.957759019426457,0.6954467649065706,0.03451676528599606,3.823010797003392,0.30924621130118907,0.7887932292426675,0.07876026252678947,1.3359999999999985
4,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-04,66,0.6805972502939404,19,20,3,0.6572802282869815,0.9605447432491928,0,0.18730953289195895,0.08914728682170543,3.6057163650267965,0.27420141725155905,0.9137950971322849,0.6430862657175624,0.03451676528599606,3.7886014593811512,0.2860095809654018,0.7405223989493652,0.0750990815050402,1.311000000000007
5,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-05,158,0.5725055243866518,46,32,0,1,0.8542203525081278,0.6504145227372646,0.4847388614434749,0.08914728682170543,3.59837359294906,0.20766768085868811,0.9346322849213691,0.6309575489294895,0.03451676528599606,3.792118534002032,0.2274234207165768,0.7634904421421276,0.06720346650102856,1.266999999999996
6,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-06,184,0.6910395702091046,54,46,5,0.6211025676690042,0.9654643209185452,0.8052650520112365,0,0.08914728682170543,3.591766865337458,0.2495809929456277,0.9062210915818686,0.6415629145034211,0.03451676528599606,3.771331229503146,0.34662202809068426,0.6813074565883555,0.05595592088541957,1.2990000000000066
7,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-07,144,0.15974743891041726,46,45,5,0.8064868940040469,0.8946782606188208,0.2534049979876727,0.5704090797808021,0.08914728682170543,3.6065869207410706,0.17083768163627056,0.9574236817761332,0.6636192666310892,0.03451676528599606,3.8304844101921898,0.20994366495081296,0.7410477163286152,0.06783801376064987,3.3389999999999986
8,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-08,19,0.13720096873817966,20,48,4,0.7169269876554608,0.8723573716823012,0.2534049979876727,0.5704090797808021,0.08914728682170543,3.4923636031414675,0.19459046956108159,0.9095282146160962,0.5680239805634008,0.03451676528599606,3.692549865279137,0.15698841378062947,0.7283525463300744,0.056748465706376476,0.7669999999999959
9,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-09,61,0.06731523618800565,55,29,0,1,0.9378633848391473,0,0.475494617363438,0.08914728682170543,3.5619960726681743,0.16039889277177832,0.9466697502312673,0.6296118901575198,0.03451676528599606,3.767031272715698,0.15431018862841359,0.7606887494527944,0.07087982893251739,1.9780000000000086
10,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-10,57,0.4655136947799474,47,29,1,0.6713761401362717,0.81283030025661,0,0.5075188125483692,0.08914728682170543,3.61102162951894,0.21250106893574292,0.9454555966697502,0.6612421442814614,0.03451676528599606,3.8230448341680434,0.26191167548522787,0.704975922953451,0.05478696225905345,1.004000000000019
11,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-01,171,0.35537058105226604,10,35,4,0.6668546725064516,0.8073807650711388,0,0,0.08139534883720931,3.5843770585953796,0.19091911200756517,0.9368721117138838,0.531212695226168,0.03451676528599606,3.7854569323488523,0.21726706050608752,0.782110024806654,0.07546315827658269,1.3000000000000114
12,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-02,98,0.118222042247653,70,31,5,0.7990519486367702,0.8566851677838714,0,0.475494617363438,0.08139534883720931,3.595535996621977,0.17088369542126733,0.950107996785212,0.5396330618620728,0.03451676528599606,3.8043135088266227,0.210522953196784,0.7557274186487669,0.06273954505780502,2.6370000000000005
13,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-03,85,0.7398273452324793,19,34,0,1,0.8388531201519073,0,0,0.08139534883720931,3.6193648319287877,0.3088050199321887,0.9405138637733574,0.5317873577057539,0.03451676528599606,3.8382345448886617,0.2871433486579341,0.782110024806654,0.08060268174347988,1.3240000000000123
14,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-04,66,0.6805972502939404,19,20,3,0.6572802282869815,0.9605447432491928,0,0.18730953289195895,0.08139534883720931,3.608847504478803,0.2477336251869809,0.9361688768334339,0.5325480151247897,0.03451676528599606,3.799342948695242,0.29496454362977337,0.711192178607909,0.08718440797903851,1.1799999999999926
15,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-05,158,0.5725055243866518,46,32,0,1,0.8542203525081278,0.6504145227372646,0.4847388614434749,0.08139534883720931,3.6059372049234093,0.19428444403824754,0.9487894313843681,0.5245004638173224,0.03451676528599606,3.805032585549689,0.23606347451749546,0.7157449292280753,0.060303017516185414,1.564
16,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-06,184,0.6910395702091046,54,46,5,0.6211025676690042,0.9654643209185452,0.8052650520112365,0,0.08139534883720931,3.5950068396306114,0.2631370265539667,0.9243269037572835,0.4904081864455745,0.03451676528599606,3.7817242711843755,0.34972399775320323,0.656325696775135,0.05304481358901389,1.521000000000015
17,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-07,144,0.15974743891041726,46,45,5,0.8064868940040469,0.8946782606188208,0.2534049979876727,0.5704090797808021,0.08139534883720931,3.6024296151591484,0.17971275335203227,0.9461146272855134,0.565509131902296,0.03451676528599606,3.8203930438881253,0.21635020033063038,0.7629067561651831,0.06641032534578828,2.5509999999999877
18,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-08,19,0.13720096873817966,20,48,4,0.7169269876554608,0.8723573716823012,0.2534049979876727,0.5704090797808021,0.08139534883720931,3.49244523806073,0.19969475234293266,0.8963984327908379,0.374773574450796,0.03451676528599606,3.705500577064638,0.14873168666598985,0.7318546621917409,0.06015127665535034,0.5350000000000001
19,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-09,61,0.06731523618800565,55,29,0,1,0.9378633848391473,0,0.475494617363438,0.08139534883720931,3.546876206757606,0.16169585569926698,0.9399738798472976,0.504516954658703,0.03451676528599606,3.765012550629337,0.15230101212389394,0.7713264263826062,0.07014898648981996,1.5790000000000077
20,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-10,57,0.4655136947799474,47,29,1,0.6713761401362717,0.81283030025661,0,0.5075188125483692,0.08139534883720931,3.608144702869897,0.21514322500603017,0.9473829616234679,0.5126286979235318,0.03451676528599606,3.820335439270364,0.23209331582608922,0.7706697796585437,0.06837307226412423,1.1359999999999957
21,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-01,171,0.35537058105226604,10,35,4,0.6668546725064516,0.8073807650711388,0,0,0.08624031007751938,3.60979892968626,0.20007292692336287,0.9362064651423261,0.5961893059832523,0.03451676528599606,3.749634557564811,0.22171127915424588,0.761826937107836,0.075720397535301,1.5769999999999982
22,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-02,98,0.118222042247653,70,31,5,0.7990519486367702,0.8566851677838714,0,0.475494617363438,0.08624031007751938,3.6183272221037854,0.16101079882575278,0.9578562322017944,0.6587422723203171,0.03451676528599606,3.8260846473288663,0.1953194631049676,0.7408726105355319,0.06646460804718177,3.0759999999999934
23,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-03,85,0.7398273452324793,19,34,0,1,0.8388531201519073,0,0,0.08624031007751938,3.632458797915547,0.3134800242944321,0.9380652233488627,0.5922637660828156,0.03451676528599606,3.8071469972177563,0.4021142961172219,0.7096454107690062,0.05469637040843618,1.1240000000000236
24,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-04,66,0.6805972502939404,19,20,3,0.6572802282869815,0.9605447432491928,0,0.18730953289195895,0.08624031007751938,3.606336026948957,0.3313006950856912,0.9035352151274322,0.47989918838484286,0.03451676528599606,3.7492757942367345,0.3002386923706644,0.7327885597548519,0.1066771675281755,1.208999999999996
25,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-05,158,0.5725055243866518,46,32,0,1,0.8542203525081278,0.6504145227372646,0.4847388614434749,0.08624031007751938,3.615119865625754,0.1918369234272214,0.9441776782203581,0.6216353042049835,0.03451676528599606,3.7569010229821767,0.2636278056745625,0.7139355026995476,0.055822787881420144,1.4789999999999992
26,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-06,184,0.6910395702091046,54,46,5,0.6211025676690042,0.9654643209185452,0.8052650520112365,0,0.08624031007751938,3.439922480620155,6.077127606304637,0.5252660049805188,0.17602792872336478,0.03451676528599606,3.6449704142012864,3.9689538375069393,0.5417189552021012,0.13258635491886112,2.52200000000002
27,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-07,144,0.15974743891041726,46,45,5,0.8064868940040469,0.8946782606188208,0.2534049979876727,0.5704090797808021,0.08624031007751938,3.6197162246650154,0.16362778298068054,0.9634920824049471,0.6385956380224725,0.03451676528599606,3.8356784626112486,0.17934002353675088,0.7942215088282504,0.07958597105357108,2.8710000000000093
28,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-08,19,0.13720096873817966,20,48,4,0.7169269876554608,0.8723573716823012,0.2534049979876727,0.5704090797808021,0.08624031007751938,3.483744079691817,0.20578829519719147,0.884488901068786,0.4501360666532864,0.03451676528599606,3.670618375758034,0.15217978955293546,0.7480811323507952,0.06671606167407916,0.4590000000000032
29,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-09,61,0.06731523618800565,55,29,0,1,0.9378633848391473,0,0.475494617363438,0.08624031007751938,3.566245132100303,0.15413892105405402,0.950653544151465,0.6015510991995742,0.03451676528599606,3.7629746102047728,0.15570280234323688,0.7521523420399825,0.06694052635951625,1.5840000000000032
30,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-10,57,0.4655136947799474,47,29,1,0.6713761401362717,0.81283030025661,0,0.5075188125483692,0.08624031007751938,3.6272401700188803,0.2159665875566035,0.9471445422807916,0.6098648692542723,0.03451676528599606,3.801890407167818,0.2473429121034378,0.7040712096891872,0.05502799653751555,1.3320000000000078
31,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-01,171,0.35537058105226604,10,35,4,0.6668546725064516,0.8073807650711388,0,0,0.09893307468477207,3.5596333289983852,0.20967413468018348,0.9423689820384559,0.6312446385388985,0.03451676528599606,3.8047857263535287,0.19196771714563263,0.7888807821392091,0.09799780049045653,1.3440000000000225
32,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-02,98,0.118222042247653,70,31,5,0.7990519486367702,0.8566851677838714,0,0.475494617363438,0.09893307468477207,3.562600660797201,0.18409877078093845,0.9562147786994238,0.6554670191355847,0.03451676528599606,3.800947143737018,0.1819864910988357,0.7676929811761273,0.07225611735100546,2.6810000000000116
33,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-03,85,0.7398273452324793,19,34,0,1,0.8388531201519073,0,0,0.09893307468477207,3.577383226670024,0.3217289247622246,0.9367230207475886,0.6613276060481061,0.03451676528599606,3.7743865917582937,0.37531795888940267,0.718298555377207,0.05850093315748126,1.492999999999995
34,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-04,66,0.6805972502939404,19,20,3,0.6572802282869815,0.9605447432491928,0,0.18730953289195895,0.09893307468477207,3.563455065322536,0.3117623959696078,0.9154583254184343,0.5775436622992156,0.03451676528599606,3.7514509615409266,0.28409026758429384,0.8015175835400554,0.10049492333322144,1.301000000000002
35,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-05,158,0.5725055243866518,46,32,0,1,0.8542203525081278,0.6504145227372646,0.4847388614434749,0.09893307468477207,3.5565832414753205,0.21502700219413234,0.943614259482049,0.6385072396084831,0.03451676528599606,3.8137464241391053,0.2088723420302553,0.7814679702320152,0.07704382310466636,1.3310000000000173
36,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-06,184,0.6910395702091046,54,46,5,0.6211025676690042,0.9654643209185452,0.8052650520112365,0,0.09893307468477207,3.5514654074059306,0.27423138903566896,0.9283121214039975,0.5916225229727756,0.03451676528599606,3.7733356452177995,0.31774365809196103,0.6563840653728295,0.05614042118595302,1.5660000000000025
37,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-07,144,0.15974743891041726,46,45,5,0.8064868940040469,0.8946782606188208,0.2534049979876727,0.5704090797808021,0.09893307468477207,3.5621795187185907,0.20189740095765027,0.9511492433356551,0.6266063114387385,0.03451676528599606,3.8170055650438934,0.19751108171193482,0.7602801692689333,0.06946556416008502,3.2179999999999893
38,v2x_veracc_osp,up,lightgbm,run-02_lightgbm_hp-08,19,0.13720096873817966,20,48,4,0.7169269876554608,0.8723573716823012,0.2534049979876727,0.5704090797808021,0.09893307468477207,3.439859428011676,0.20992841006156057,0.9083085333164482,0.5225998752348312,0.03451676528599606,3.694340843172671,0.14648705311257407,0.7570261199474683,0.07140946294716863,0.48699999999999477
