mg_id,indicator,direction,model,hp_set_id,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
1,v2x_veracc_osp,up,xgboost,run-09_xgboost_hp-01,259,0.05602096291258932,0.9166489588096738,3,3.4683713727863505,3.1509736843872815,0.7973887424450368,0.7500876854173839,0.8590573949040845,0.5042125165928155,2.784573828103021,2.169615212129429,0.0872093023255814,3.475256328145709,0.21211760527199447,0.8792875678225996,0.38169223058109725,0.03451676528599606,3.708451478812108,0.14379729311797598,0.7614475412228221,0.06786329636467037,5.337999999999738
2,v2x_veracc_osp,up,xgboost,run-09_xgboost_hp-02,257,0.023678320087492467,0.7038007776718587,11,3.9553262130357325,0,1,0.7241374213481322,1,1,2.6870164652355015,0,0.0872093023255814,3.5377321528042676,0.1669527187991832,0.9431233781552253,0.5529591980335564,0.03451676528599606,3.7430816311845416,0.14892403833647977,0.7472931562819203,0.06590225862521416,25.988000000000284
3,v2x_veracc_osp,up,xgboost,run-09_xgboost_hp-03,210,0.02429357315413654,0.37183977174572647,7,3.908807825995609,0,1,1,0.9885698554571718,0.8623957232339308,2.6870164652355015,0.3511659214273095,0.0872093023255814,3.4961362957095377,0.18521818696708012,0.9278957301250295,0.4942089876164496,0.03451676528599606,3.7031321714475784,0.14996648012930672,0.7441120677075733,0.06193679367975455,21.664999999999054
4,v2x_veracc_osp,up,xgboost,run-09_xgboost_hp-04,364,0.15447128089144826,0.4684492824599147,5,1.1038396030198783,0,0.798196830204688,0.9721228530397639,0.8590573949040845,0.5308255759300664,1,0.49263669177889824,0.0872093023255814,3.601026691100386,0.16662107744554552,0.9477707006369427,0.6284335261032553,0.03451676528599606,3.815011999182205,0.1843675517834628,0.7599299576827666,0.06987421989033556,14.5049999999992
5,v2x_veracc_osp,up,xgboost,run-09_xgboost_hp-05,204,0.10763089787214995,0.33417052077129483,8,0.7474216278642416,0,1,0.9855774493189529,0.5799118649447337,1,2.2648954312317073,0,0.0872093023255814,3.6085529407684813,0.17062661471985094,0.9554140127388535,0.6123887316632439,0.03451676528599606,3.811844147544861,0.18358673315032423,0.7355902524441851,0.06073145598042894,14.920000000000073
6,v2x_veracc_osp,up,xgboost,run-09_xgboost_hp-06,348,0.15369769958779217,0.831842744955793,10,3.763571208692156,0,0.6494203165639192,0.6607399670174345,0.8590573949040845,0.7337145410710946,1,2.9160180296748877,0.0872093023255814,3.56813966381504,0.1668173002281283,0.9425925925925926,0.5838234876273773,0.03451676528599606,3.785945459376161,0.1585660952774404,0.7656500802568218,0.07188105494378383,16.409000000000106
7,v2x_veracc_osp,up,xgboost,run-09_xgboost_hp-07,260,0.15644174357876184,0.42541885981336236,14,0.9637770004337654,0,0.532445972203277,1,1,1,1,0,0.0872093023255814,3.603584255796433,0.1787640250597841,0.9511913187072423,0.6420857001983638,0.03451676528599606,3.8140257935302975,0.19766361212169553,0.7555523128556837,0.06578304827079222,30.71900000000005
8,v2x_veracc_osp,up,xgboost,run-09_xgboost_hp-08,206,0.10166804036125542,0,12,2.8337984876707196,1.1913112888578326,1,0.8468147461535409,0.7468042420223355,0.8623957232339308,1,1.3784245380666107,0.0872093023255814,3.5919749664810072,0.16116151987609909,0.9509790044821892,0.6238692622342918,0.03451676528599606,3.80632160470198,0.17162969582895313,0.7432073544433095,0.06326643003373257,14.574000000000296
9,v2x_veracc_osp,up,xgboost,run-09_xgboost_hp-09,266,0.07294155592098832,0.19804462906904519,6,3.437294247210957,0.7394568040035665,0.9334441528189927,0.9855774493189529,1,1,0.3401888713706285,0.3511659214273095,0.0872093023255814,3.566746036604201,0.16115859365691734,0.94655579146025,0.6018727035480183,0.03451676528599606,3.7773692828224967,0.1552678295208509,0.7548227053845031,0.06443888718472192,22.847999999999956
10,v2x_veracc_osp,up,xgboost,run-09_xgboost_hp-10,365,0.193743560789153,0,14,1.9143272272776812,3.592364543583244,0.8707618480548263,1,0.6898043361725286,0.8304098491789773,1,0,0.0872093023255814,3.627083097844226,0.18856678148872055,0.9563694267515923,0.6626035996416691,0.03451676528599606,3.835283828288742,0.22520091533205158,0.7298701298701299,0.05991868047740787,19.659999999999854
