mg_id,indicator,direction,model,hp_set_id,lambda_l1,lambda_l2,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
1,v2x_veracc_osp,up,lightgbm_default,run-01_lightgbm_default,NA,NA,0.08042635658914729,3.6133116348485257,0.13298654597652282,0.9655312503967397,0.6569054189912704,0.03451676528599606,3.8036195968788564,0.16190987770077142,0.7591711659127389,0.07394427779524615,2.527000000000001
2,v2x_veracc_osp,up,lightgbm_default,run-01_lightgbm_default,NA,NA,0.09883720930232558,3.5525057601173455,0.2222080766294854,0.9253742357157917,0.5306095905402308,0.03451676528599606,3.8006977972030906,0.1560375678827483,0.8048154093097913,0.08499093408413703,1.8810000000000002
3,v2x_veracc_osp,up,lightgbm_default,run-01_lightgbm_default,NA,NA,0.08914728682170543,3.58465902683754,0.20500505863616625,0.9230573543015727,0.5122565983384121,0.03451676528599606,3.8123905142938974,0.16865793575126878,0.7491609514081424,0.0642686957292376,2.030000000000001
4,v2x_veracc_osp,up,lightgbm_default,run-01_lightgbm_default,NA,NA,0.0863239573229874,3.5641758824511953,0.15034410054127384,0.9603759631670603,0.5780668105157536,0.03451676528599606,3.7766522973759082,0.1790899006108158,0.7166788267911863,0.06113784299704721,1.7970000000000006
5,v2x_veracc_osp,up,lightgbm_default,run-01_lightgbm_default,NA,NA,0.08826382153249272,3.5758474619836162,0.16649598189250367,0.9511456628477905,0.603411169573234,0.03451676528599606,3.7944582474360424,0.16003810728643228,0.7714577557274187,0.07597714213844801,1.6739999999999924
6,v2x_veracc_osp,up,xgboost_default,run-01_xgboost_default,NA,NA,0.08042635658914729,3.6319550401489296,0.14662063995850677,0.9641982048319728,0.6620208003908558,0.03451676528599606,3.81984788447408,0.19354618873027668,0.7659127389464468,0.07310467276100849,15.420000000000016
7,v2x_veracc_osp,up,xgboost_default,run-01_xgboost_default,NA,NA,0.09883720930232558,3.566925151456911,0.2544555750018176,0.9264705882352942,0.5454050105794136,0.03451676528599606,3.83564711378764,0.17702521110223227,0.813774989055888,0.09222028281941924,30.056000000000004
8,v2x_veracc_osp,up,xgboost_default,run-01_xgboost_default,NA,NA,0.08914728682170543,3.598978910125425,0.22865456127994888,0.9206290471785384,0.5627401168177513,0.03451676528599606,3.8254599400920015,0.19231067765022203,0.7756019261637239,0.07889528749524916,9.91500000000002
9,v2x_veracc_osp,up,xgboost_default,run-01_xgboost_default,NA,NA,0.0863239573229874,3.5934671462440035,0.14674026844432272,0.9689043154655407,0.6333098026574252,0.03451676528599606,3.822056580224308,0.20572625432602554,0.7274478330658106,0.07082237211489367,11.668000000000063
10,v2x_veracc_osp,up,xgboost_default,run-01_xgboost_default,NA,NA,0.08826382153249272,3.60208961197853,0.18867676100160968,0.9495966799158289,0.6141645778918696,0.03451676528599606,3.805148236392412,0.21111814182899688,0.7631985991536553,0.06450848505977663,10.408999999999992
