Measure,Direction,Value
Pos-rate,up,0.10897689768976898
Pos-rate,down,0.12963696369636965
Log-loss,up,0.22911300170776405
Log-loss,down,0.24977676154129644
ROC-AUC,up,0.8852515894014448
ROC-AUC,down,0.8908491208196807
PR-AUC,up,0.5674726784568173
PR-AUC,down,0.6125842115924152
