Measure,Direction,Value
Pos-rate,up,0.0733993399339934
Pos-rate,down,0.08495049504950496
Log-loss,up,0.1841641813580915
Log-loss,down,0.2110604385859136
ROC-AUC,up,0.8655162349675751
ROC-AUC,down,0.8602190286890569
PR-AUC,up,0.4606905117768566
PR-AUC,down,0.455871808479017
