Measure,Direction,Value
Pos-rate,up,0.11222469685721356
Pos-rate,down,0.13536253402623113
Log-loss,up,0.23209117006719443
Log-loss,down,0.25622357911789123
ROC-AUC,up,0.8850685915584939
ROC-AUC,down,0.89175031315109
PR-AUC,up,0.5565615263218091
PR-AUC,down,0.6073122302123967
