Measure,Direction,Value
Pos-rate,up,0.11222469685721356
Pos-rate,down,0.13536253402623113
Log-loss,up,0.23192084768077992
Log-loss,down,0.259490114587092
ROC-AUC,up,0.8833241263267886
ROC-AUC,down,0.8903259596759763
PR-AUC,up,0.5495796582009101
PR-AUC,down,0.6016149500738165
