outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0,0.9975,0.0025
v2x_freexp_altinf,2005,2006 - 2007,20,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,40,0.013,0.987,0
v2x_freexp_altinf,2005,2006 - 2007,41,0.52725,0.435639125,0.0785
v2x_freexp_altinf,2005,2006 - 2007,42,0.0095,0.9815855,0.009
v2x_freexp_altinf,2005,2006 - 2007,51,0.0015,0.99500525,0.0035
v2x_freexp_altinf,2005,2006 - 2007,52,5e-4,0.99100425,0.0085
v2x_freexp_altinf,2005,2006 - 2007,53,0.0025,0.9910162500000002,0.0065
v2x_freexp_altinf,2005,2006 - 2007,70,0.02933333333333333,0.91728,0.055
v2x_freexp_altinf,2005,2006 - 2007,90,0.023,0.9657645,0.0115
v2x_freexp_altinf,2005,2006 - 2007,91,0.03525,0.95413775,0.011
v2x_freexp_altinf,2005,2006 - 2007,92,0.04,0.9552,0.005
v2x_freexp_altinf,2005,2006 - 2007,93,0.0115,0.4899253125,0.504375
v2x_freexp_altinf,2005,2006 - 2007,94,0,0.9985,0.0015
v2x_freexp_altinf,2005,2006 - 2007,95,0.0115,0.9695949375,0.019125
v2x_freexp_altinf,2005,2006 - 2007,100,0.056,0.845824,0.104
v2x_freexp_altinf,2005,2006 - 2007,101,0.2045,0.663248125,0.16625
v2x_freexp_altinf,2005,2006 - 2007,110,0.15045833333333333,0.8376480833333333,0.014
v2x_freexp_altinf,2005,2006 - 2007,115,0.003,0.9845375,0.0125
v2x_freexp_altinf,2005,2006 - 2007,130,0.026,0.948676,0.026
v2x_freexp_altinf,2005,2006 - 2007,135,0.0035,0.986535,0.01
v2x_freexp_altinf,2005,2006 - 2007,140,0.0255,0.9163780357142858,0.05964285714285713
v2x_freexp_altinf,2005,2006 - 2007,145,0.2275,0.7415999999999999,0.04
v2x_freexp_altinf,2005,2006 - 2007,150,0.023,0.94769,0.03
v2x_freexp_altinf,2005,2006 - 2007,155,0.005,0.9845525,0.0105
v2x_freexp_altinf,2005,2006 - 2007,160,0.10266666666666666,0.7981779999999999,0.1105
v2x_freexp_altinf,2005,2006 - 2007,165,0,0.9935,0.0065
v2x_freexp_altinf,2005,2006 - 2007,200,0,0.9835,0.0165
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,211,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,212,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,220,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,225,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,230,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,235,0,0.972,0.028
v2x_freexp_altinf,2005,2006 - 2007,260,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,290,0,0.965,0.035
v2x_freexp_altinf,2005,2006 - 2007,305,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,310,0,0.998,0.002
v2x_freexp_altinf,2005,2006 - 2007,316,0,0.998,0.002
v2x_freexp_altinf,2005,2006 - 2007,317,0.0015,0.9985,0
v2x_freexp_altinf,2005,2006 - 2007,325,5e-4,0.9925035,0.007
v2x_freexp_altinf,2005,2006 - 2007,339,0.05,0.91295,0.039
v2x_freexp_altinf,2005,2006 - 2007,343,0.201,0.7330825,0.0825
v2x_freexp_altinf,2005,2006 - 2007,344,0.0475,0.89916,0.056
v2x_freexp_altinf,2005,2006 - 2007,345,0.0705,0.91323375,0.0175
v2x_freexp_altinf,2005,2006 - 2007,346,0.038,0.938912,0.024
v2x_freexp_altinf,2005,2006 - 2007,349,0.002,0.995505,0.0025
v2x_freexp_altinf,2005,2006 - 2007,350,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,352,0.0075,0.990515,0.002
v2x_freexp_altinf,2005,2006 - 2007,355,0.016,0.94956,0.035
v2x_freexp_altinf,2005,2006 - 2007,359,0.061,0.8333625,0.1125
v2x_freexp_altinf,2005,2006 - 2007,360,0.283,0.58969665,0.17755
v2x_freexp_altinf,2005,2006 - 2007,365,0.103,0.649428,0.276
v2x_freexp_altinf,2005,2006 - 2007,366,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,367,0.0045,0.99400675,0.0015
v2x_freexp_altinf,2005,2006 - 2007,368,0,0.999,0.001
v2x_freexp_altinf,2005,2006 - 2007,369,0.2263,0.5956522875,0.230125
v2x_freexp_altinf,2005,2006 - 2007,370,0.05025,0.912234875,0.0395
v2x_freexp_altinf,2005,2006 - 2007,371,0.04,0.91392,0.048
v2x_freexp_altinf,2005,2006 - 2007,372,0.178125,0.7448927083333333,0.09366666666666668
v2x_freexp_altinf,2005,2006 - 2007,373,0.0695,0.7212925833333333,0.22483333333333333
v2x_freexp_altinf,2005,2006 - 2007,375,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,380,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,385,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,390,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,395,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,402,0,0.9995,5e-4
v2x_freexp_altinf,2005,2006 - 2007,404,0.08125,0.909103125,0.0105
v2x_freexp_altinf,2005,2006 - 2007,411,0.028,0.971028,0.001
v2x_freexp_altinf,2005,2006 - 2007,420,0.0435,0.94358725,0.0135
v2x_freexp_altinf,2005,2006 - 2007,432,0.005,0.990025,0.005
v2x_freexp_altinf,2005,2006 - 2007,433,0.0035,0.9915175,0.005
v2x_freexp_altinf,2005,2006 - 2007,434,0.0165,0.7001290625000001,0.288125
v2x_freexp_altinf,2005,2006 - 2007,435,0.5685,0.34771708333333334,0.19416666666666663
v2x_freexp_altinf,2005,2006 - 2007,436,0.0225,0.901255,0.078
v2x_freexp_altinf,2005,2006 - 2007,437,0.1185,0.34334424999999996,0.6105
v2x_freexp_altinf,2005,2006 - 2007,438,0.16425,0.8273925,0.01
v2x_freexp_altinf,2005,2006 - 2007,439,0.0385,0.95525025,0.0065
v2x_freexp_altinf,2005,2006 - 2007,450,0.393,0.5675702916666666,0.06495833333333333
v2x_freexp_altinf,2005,2006 - 2007,451,0.095,0.898665,0.007
v2x_freexp_altinf,2005,2006 - 2007,452,0.011,0.9835605,0.0055
v2x_freexp_altinf,2005,2006 - 2007,461,0.4855,0.476427,0.074
v2x_freexp_altinf,2005,2006 - 2007,471,0.089,0.906445,0.005
v2x_freexp_altinf,2005,2006 - 2007,475,0.0175,0.97316625,0.0095
v2x_freexp_altinf,2005,2006 - 2007,481,0.0365,0.95241975,0.0115
v2x_freexp_altinf,2005,2006 - 2007,482,0.161,0.826415,0.015
v2x_freexp_altinf,2005,2006 - 2007,483,0.07645833333333334,0.9161533333333334,0.008
v2x_freexp_altinf,2005,2006 - 2007,484,0.0265,0.9705795,0.003
v2x_freexp_altinf,2005,2006 - 2007,490,0.8010833333333333,0.1959329166666667,0.015
v2x_freexp_altinf,2005,2006 - 2007,500,0.09,0.8904350000000001,0.0215
v2x_freexp_altinf,2005,2006 - 2007,501,0.0475,0.9439275,0.009
v2x_freexp_altinf,2005,2006 - 2007,510,0.10675,0.87949395,0.0154
v2x_freexp_altinf,2005,2006 - 2007,516,0.3654583333333334,0.5998533888888888,0.05466666666666666
v2x_freexp_altinf,2005,2006 - 2007,517,0.088,0.88464,0.03
v2x_freexp_altinf,2005,2006 - 2007,520,0.709375,0.2611265625,0.1015
v2x_freexp_altinf,2005,2006 - 2007,522,0.046,0.948276,0.006
