outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,373,0.044444444444444446,0.9481234567901236,0.0077777777777777776
v2x_freexp_altinf,2005,2006 - 2007,375,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,380,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,385,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,390,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,395,0.0011111111111111111,0.9988888888888889,0
v2x_freexp_altinf,2005,2006 - 2007,402,0,0.9988888888888889,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,404,0.04888888888888889,0.9403670781893004,0.011296296296296297
v2x_freexp_altinf,2005,2006 - 2007,411,0.028888888888888888,0.9700320987654322,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,420,0.008888888888888889,0.9878074074074075,0.0033333333333333335
v2x_freexp_altinf,2005,2006 - 2007,432,0.0022222222222222222,0.9900172839506173,0.0077777777777777776
v2x_freexp_altinf,2005,2006 - 2007,433,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,434,0.0011111111111111111,0.9722518518518519,0.02666666666666667
v2x_freexp_altinf,2005,2006 - 2007,435,0.5311111111111111,0.42722724279835395,0.08885185185185185
v2x_freexp_altinf,2005,2006 - 2007,436,0.0044444444444444444,0.9020839506172839,0.09388888888888888
v2x_freexp_altinf,2005,2006 - 2007,437,0.08,0.9154,0.005
v2x_freexp_altinf,2005,2006 - 2007,438,0.03333333333333333,0.9655925925925927,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,439,0.01,0.9833999999999999,0.006666666666666667
v2x_freexp_altinf,2005,2006 - 2007,450,0.27,0.6985694444444445,0.043055555555555555
v2x_freexp_altinf,2005,2006 - 2007,451,0.0077777777777777776,0.9732046296296296,0.019166666666666665
v2x_freexp_altinf,2005,2006 - 2007,452,0.0022222222222222222,0.9933432098765431,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,461,0.37222222222222223,0.5929012345679012,0.05555555555555555
v2x_freexp_altinf,2005,2006 - 2007,471,0.09111111111111111,0.9068691358024691,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,475,0.0022222222222222222,0.9933432098765431,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,481,0.021111111111111112,0.9734506172839507,0.005555555555555556
v2x_freexp_altinf,2005,2006 - 2007,482,0.12666666666666668,0.8570311111111111,0.018666666666666668
v2x_freexp_altinf,2005,2006 - 2007,483,0.04,0.9589333333333333,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,484,0.01,0.98725,0.002777777777777778
