outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,435,0.4456,0.5046888,0.08966666666666667
v2x_freexp_altinf,2005,2006 - 2007,436,0.013,0.9042894,0.0838
v2x_freexp_altinf,2005,2006 - 2007,437,0.0865,0.908019,0.006
v2x_freexp_altinf,2005,2006 - 2007,438,0.048,0.941528,0.011
v2x_freexp_altinf,2005,2006 - 2007,439,0.026,0.968156,0.006
v2x_freexp_altinf,2005,2006 - 2007,450,0.24366666666666667,0.723811,0.043
v2x_freexp_altinf,2005,2006 - 2007,451,0.017,0.931884,0.052
v2x_freexp_altinf,2005,2006 - 2007,452,0.004,0.995004,0.001
v2x_freexp_altinf,2005,2006 - 2007,461,0.35783333333333334,0.60395775,0.0595
v2x_freexp_altinf,2005,2006 - 2007,471,0.06566666666666665,0.9343333333333332,0
v2x_freexp_altinf,2005,2006 - 2007,475,0.004,0.994008,0.002
v2x_freexp_altinf,2005,2006 - 2007,481,0.018,0.97709,0.005
v2x_freexp_altinf,2005,2006 - 2007,482,0.111,0.866775,0.025
v2x_freexp_altinf,2005,2006 - 2007,483,0.036,0.962072,0.002
v2x_freexp_altinf,2005,2006 - 2007,484,0.014,0.982056,0.004
v2x_freexp_altinf,2005,2006 - 2007,490,0.0818,0.9080998,0.011
v2x_freexp_altinf,2005,2006 - 2007,500,0.046,0.940962,0.01366666666666666
v2x_freexp_altinf,2005,2006 - 2007,501,0.049,0.944343,0.007
v2x_freexp_altinf,2005,2006 - 2007,510,0.042,0.945546,0.013
v2x_freexp_altinf,2005,2006 - 2007,516,0.2056,0.7562688,0.048
v2x_freexp_altinf,2005,2006 - 2007,517,0.06975,0.91629625,0.015
v2x_freexp_altinf,2005,2006 - 2007,520,0.1665,0.7898801666666667,0.05233333333333333
v2x_freexp_altinf,2005,2006 - 2007,522,0.03,0.96321,0.007
v2x_freexp_altinf,2005,2006 - 2007,530,0.035,0.8156631168831169,0.15475324675324675
v2x_freexp_altinf,2005,2006 - 2007,531,0.019,0.962361,0.019
v2x_freexp_altinf,2005,2006 - 2007,540,0.065,0.922845,0.013
v2x_freexp_altinf,2005,2006 - 2007,541,0.014,0.982056,0.004
v2x_freexp_altinf,2005,2006 - 2007,551,0.049,0.91296,0.04
v2x_freexp_altinf,2005,2006 - 2007,552,0.083,0.6914944166666667,0.24591666666666664
v2x_freexp_altinf,2005,2006 - 2007,553,0.0575,0.934206,0.0088
v2x_freexp_altinf,2005,2006 - 2007,560,0.006,0.98903,0.005
v2x_freexp_altinf,2005,2006 - 2007,565,0.003,0.995006,0.002
v2x_freexp_altinf,2005,2006 - 2007,570,0.017,0.977102,0.006
v2x_freexp_altinf,2005,2006 - 2007,571,0.001,0.999,0
v2x_freexp_altinf,2005,2006 - 2007,572,0.052,0.944208,0.004
v2x_freexp_altinf,2005,2006 - 2007,580,0.044,0.9023046666666666,0.05616666666666667
v2x_freexp_altinf,2005,2006 - 2007,581,0.041,0.9490264,0.0104
v2x_freexp_altinf,2005,2006 - 2007,590,0.001,0.998001,0.001
