Measure,Direction,Value
Pos-rate,up,0.0733993399339934
Pos-rate,down,0.08495049504950496
Log-loss,up,0.1858174220830842
Log-loss,down,0.22391087219228759
ROC-AUC,up,0.8633391726567456
ROC-AUC,down,0.8590452043167905
PR-AUC,up,0.4563014555542649
PR-AUC,down,0.45828908814429437
