Variables
gwcode
year
v2x_veracc_osp
dv_v2x_veracc_osp_change
dv_v2x_veracc_osp_up_next2
dv_v2x_veracc_osp_down_next2
v2xcs_ccsi
dv_v2xcs_ccsi_change
dv_v2xcs_ccsi_up_next2
dv_v2xcs_ccsi_down_next2
v2xcl_rol
dv_v2xcl_rol_change
dv_v2xcl_rol_up_next2
dv_v2xcl_rol_down_next2
v2x_freexp_altinf
dv_v2x_freexp_altinf_change
dv_v2x_freexp_altinf_up_next2
dv_v2x_freexp_altinf_down_next2
v2x_horacc_osp
dv_v2x_horacc_osp_change
dv_v2x_horacc_osp_up_next2
dv_v2x_horacc_osp_down_next2
v2x_pubcorr
dv_v2x_pubcorr_change
dv_v2x_pubcorr_up_next2
dv_v2x_pubcorr_down_next2
lag0_is_leg
lag0_is_elec
lag0_is_election_year
lag0_v2x_polyarchy
lag0_v2x_liberal
lag0_v2xdl_delib
lag0_v2x_jucon
lag0_v2x_frassoc_thick
lag0_v2xel_frefair
lag0_v2x_elecoff
lag0_v2xlg_legcon
lag0_v2x_partip
lag0_v2x_cspart
lag0_v2x_egal
lag0_v2xeg_eqprotec
lag0_v2xeg_eqaccess
lag0_v2xeg_eqdr
lag0_v2x_diagacc
lag0_v2xex_elecleg
lag0_v2x_civlib
lag0_v2x_clphy
lag0_v2x_clpol
lag0_v2x_clpriv
lag0_v2x_corr
lag0_v2x_EDcomp_thick
lag0_v2x_elecreg
lag0_v2x_freexp
lag0_v2x_gencl
lag0_v2x_gencs
lag0_v2x_hosabort
lag0_v2x_hosinter
lag0_v2x_rule
lag0_v2xcl_acjst
lag0_v2xcl_disc
lag0_v2xcl_dmove
lag0_v2xcl_prpty
lag0_v2xcl_slave
lag0_v2xel_elecparl
lag0_v2xel_elecpres
lag0_v2xex_elecreg
lag0_v2xlg_elecreg
lag0_v2ex_legconhog
lag0_v2ex_legconhos
lag0_v2x_ex_confidence
lag0_v2x_ex_direlect
lag0_v2x_ex_hereditary
lag0_v2x_ex_military
lag0_v2x_ex_party
lag0_v2x_execorr
lag0_v2x_legabort
lag0_v2xlg_leginter
lag0_v2x_neopat
lag0_v2xnp_client
lag0_v2xnp_pres
lag0_v2xnp_regcorr
lag0_v2elvotbuy
lag0_v2elfrcamp
lag0_v2elpdcamp
lag0_v2elpaidig
lag0_v2elmonref
lag0_v2elmonden
lag0_v2elrgstry
lag0_v2elirreg
lag0_v2elintim
lag0_v2elpeace
lag0_v2elfrfair
lag0_v2elmulpar
lag0_v2elboycot
lag0_v2elaccept
lag0_v2elasmoff
lag0_v2eldonate
lag0_v2elpubfin
lag0_v2ellocumul
lag0_v2elprescons
lag0_v2elprescumul
lag0_v2elembaut
lag0_v2elembcap
lag0_v2elreggov
lag0_v2ellocgov
lag0_v2ellocons
lag0_v2elrsthos
lag0_v2elrstrct
lag0_v2psparban
lag0_v2psbars
lag0_v2psoppaut
lag0_v2psorgs
lag0_v2psprbrch
lag0_v2psprlnks
lag0_v2psplats
lag0_v2pscnslnl
lag0_v2pscohesv
lag0_v2pscomprg
lag0_v2psnatpar
lag0_v2pssunpar
lag0_v2exremhsp
lag0_v2exdfdshs
lag0_v2exdfcbhs
lag0_v2exdfvths
lag0_v2exdfdmhs
lag0_v2exdfpphs
lag0_v2exhoshog
lag0_v2exrescon
lag0_v2exbribe
lag0_v2exembez
lag0_v2excrptps
lag0_v2exthftps
lag0_v2ex_elechos
lag0_v2ex_hogw
lag0_v2expathhs
lag0_v2lgbicam
lag0_v2lgqstexp
lag0_v2lginvstp
lag0_v2lgotovst
lag0_v2lgcrrpt
lag0_v2lgoppart
lag0_v2lgfunds
lag0_v2lgdsadlobin
lag0_v2lglegplo
lag0_v2lgcomslo
lag0_v2lgsrvlo
lag0_v2ex_hosw
lag0_v2dlreason
lag0_v2dlcommon
lag0_v2dlcountr
lag0_v2dlconslt
lag0_v2dlengage
lag0_v2dlencmps
lag0_v2dlunivl
lag0_v2jureform
lag0_v2jupurge
lag0_v2jupoatck
lag0_v2jupack
lag0_v2juaccnt
lag0_v2jucorrdc
lag0_v2juhcind
lag0_v2juncind
lag0_v2juhccomp
lag0_v2jucomp
lag0_v2jureview
lag0_v2clacfree
lag0_v2clrelig
lag0_v2cltort
lag0_v2clkill
lag0_v2cltrnslw
lag0_v2clrspct
lag0_v2clfmove
lag0_v2cldmovem
lag0_v2cldmovew
lag0_v2cldiscm
lag0_v2cldiscw
lag0_v2clslavem
lag0_v2clslavef
lag0_v2clstown
lag0_v2clprptym
lag0_v2clprptyw
lag0_v2clacjstm
lag0_v2clacjstw
lag0_v2clacjust
lag0_v2clsocgrp
lag0_v2clrgunev
lag0_v2svdomaut
lag0_v2svinlaut
lag0_v2svstterr
lag0_v2cseeorgs
lag0_v2csreprss
lag0_v2cscnsult
lag0_v2csprtcpt
lag0_v2csgender
lag0_v2csantimv
lag0_v2csrlgrep
lag0_v2csrlgcon
lag0_v2mecenefm
lag0_v2mecrit
lag0_v2merange
lag0_v2meharjrn
lag0_v2meslfcen
lag0_v2mebias
lag0_v2mecorrpt
lag0_v2pepwrses
lag0_v2pepwrsoc
lag0_v2pepwrgen
lag0_v2pepwrort
lag0_v2peedueq
lag0_v2pehealth
lag0_state_age
lag0_log_pop
lag1_infmort
lag1_infmort_yearadj
lag1_gdp_growth
lag1_gdp_pc_growth
lag1_log_gdp
lag1_log_gdp_pc
lag0_years_since_last_pt_attempt
