indicator,all,up,down
v2x_veracc_osp,0.08193595579637833,0.08,0.08
v2xcs_ccsi,0.05584000235007044,0.05,0.05
v2xcl_rol,0.04306543617146992,0.04,0.04
v2x_freexp_altinf,0.05530508432856405,0.05,0.05
v2x_horacc_osp,0.057613099016752524,0.06,0.06
v2x_pubcorr,0.041194136778966974,0.03,0.03
