Space,direction,Cases,In_top42,AUC-ROC,AUC-PR,Pos_rate
Associational,down,29,12,0.653448275862069,0.2486866378801158,0.17159763313609466
Economic,down,31,13,0.7208976157082749,0.29635304274788804,0.1834319526627219
Electoral,down,10,6,0.7220125786163523,0.11520473723042485,0.05917159763313609
Governing,down,21,7,0.618082368082368,0.15311019313399113,0.1242603550295858
Individual,down,34,14,0.6994553376906318,0.3556238409497095,0.20118343195266272
Informational,down,30,11,0.6737410071942446,0.2556399157985754,0.17751479289940827
Associational,up,16,8,0.7512254901960784,0.22421382752628716,0.09467455621301775
Economic,up,42,17,0.6706974128233971,0.41564974409805244,0.2485207100591716
Electoral,up,4,1,0.6439393939393939,0.030365813261069585,0.023668639053254437
Governing,up,26,11,0.7208176438945669,0.23945004585809837,0.15384615384615385
Individual,up,19,12,0.8168421052631579,0.29178580500541307,0.11242603550295859
Informational,up,19,10,0.7740350877192982,0.34575876404783285,0.11242603550295859
Average,,23.416666666666668,10.166666666666666,0.7054328597491528,0.2476535306281215,0.138560157790927
