Space,direction,Cases,In_top42,AUC-ROC,AUC-PR,Pos_rate
Associational,down,20,8,0.6531879194630873,0.1839666415235967,0.11834319526627218
Economic,down,21,6,0.5653153153153153,0.13475847096855442,0.1242603550295858
Electoral,down,7,4,0.7006172839506173,0.0802284800036063,0.04142011834319527
Governing,down,18,8,0.6876379690949227,0.23208948998710843,0.10650887573964497
Individual,down,14,6,0.6085253456221198,0.11601838313106032,0.08284023668639054
Informational,down,20,7,0.6852348993288591,0.1689185247844566,0.11834319526627218
Associational,up,14,8,0.7631336405529954,0.16169151620389907,0.08284023668639054
Economic,up,20,8,0.6003355704697987,0.1462109307768609,0.11834319526627218
Electoral,up,6,4,0.815439672801636,0.09302972786222014,0.03550295857988166
Governing,up,8,5,0.7950310559006211,0.10262334147846705,0.047337278106508875
Individual,up,9,5,0.7118055555555556,0.10588591920749346,0.05325443786982249
Informational,up,6,3,0.7346625766871165,0.0598059589712733,0.03550295857988166
Average,,13.583333333333334,6,0.6934105670618871,0.13210228207488306,0.08037475345167652
