comparison,ag_rate
v9-v10,0.6597407940752932
v10-v11,0.678876404494382
v11-v12,0.8829701372074253
v9-v11,0.6262239250744998
v10-v12,0.6646464646464646
v12-v12.1,0.6042809127896692
