outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0,0.9988888888888889,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,20,0,0.9988888888888889,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,40,0.023333333333333334,0.9744962962962963,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,41,0.43777777777777777,0.5272395061728395,0.06222222222222222
v2x_freexp_altinf,2005,2006 - 2007,42,0.0044444444444444444,0.9918683127572017,0.0037037037037037034
v2x_freexp_altinf,2005,2006 - 2007,51,0,0.99,0.01
v2x_freexp_altinf,2005,2006 - 2007,52,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,53,0.01,0.9878,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,70,0.016666666666666666,0.9636666666666666,0.02
v2x_freexp_altinf,2005,2006 - 2007,90,0.012222222222222223,0.9822901234567901,0.005555555555555556
v2x_freexp_altinf,2005,2006 - 2007,91,0.006666666666666667,0.9889185185185184,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,92,0.01888888888888889,0.9723901234567902,0.008888888888888889
v2x_freexp_altinf,2005,2006 - 2007,93,0.005555555555555556,0.9900246913580247,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,94,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,95,0.0044444444444444444,0.9944493827160494,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,100,0.05444444444444444,0.8830438271604939,0.0661111111111111
v2x_freexp_altinf,2005,2006 - 2007,101,0.24555555555555555,0.6896181069958848,0.08592592592592593
v2x_freexp_altinf,2005,2006 - 2007,110,0.01,0.9878,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,115,0.0033333333333333335,0.992237037037037,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,130,0.03111111111111111,0.9365925925925926,0.03333333333333333
v2x_freexp_altinf,2005,2006 - 2007,135,0.0011111111111111111,0.9944493827160494,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,140,0.0011111111111111111,0.9728067901234568,0.026111111111111113
v2x_freexp_altinf,2005,2006 - 2007,145,0.006666666666666667,0.9672491358024692,0.02625925925925926
v2x_freexp_altinf,2005,2006 - 2007,150,0.025555555555555557,0.9560382716049384,0.01888888888888889
v2x_freexp_altinf,2005,2006 - 2007,155,0,0.9911111111111112,0.008888888888888889
v2x_freexp_altinf,2005,2006 - 2007,160,0.0077777777777777776,0.9348938271604937,0.057777777777777775
v2x_freexp_altinf,2005,2006 - 2007,165,0.0011111111111111111,0.9944493827160494,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,200,0,0.9844444444444445,0.015555555555555555
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0,0.9988888888888889,0.0011111111111111111
