outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,420,0.037,0.9528885,0.0105
v2x_freexp_altinf,2005,2006 - 2007,432,0.0065,0.98604875,0.0075
v2x_freexp_altinf,2005,2006 - 2007,433,0.001,0.9985005,5e-4
v2x_freexp_altinf,2005,2006 - 2007,434,0.0075,0.7421418750000001,0.25225
v2x_freexp_altinf,2005,2006 - 2007,435,0.559375,0.3683625,0.164
v2x_freexp_altinf,2005,2006 - 2007,436,0.0185,0.9082146666666668,0.07466666666666666
v2x_freexp_altinf,2005,2006 - 2007,437,0.13183333333333333,0.39197725,0.5485
v2x_freexp_altinf,2005,2006 - 2007,438,0.121,0.8724075,0.0075
v2x_freexp_altinf,2005,2006 - 2007,439,0.0375,0.9599734375,0.002625
v2x_freexp_altinf,2005,2006 - 2007,450,0.3995,0.545103875,0.09225
v2x_freexp_altinf,2005,2006 - 2007,451,0.0965,0.8565179999999999,0.052
v2x_freexp_altinf,2005,2006 - 2007,452,0.0105,0.983563,0.006
v2x_freexp_altinf,2005,2006 - 2007,461,0.4558333333333333,0.5098841666666667,0.063
v2x_freexp_altinf,2005,2006 - 2007,471,0.087625,0.905076,0.008
v2x_freexp_altinf,2005,2006 - 2007,475,0.0135,0.97712825,0.0095
v2x_freexp_altinf,2005,2006 - 2007,481,0.054,0.924715,0.0225
v2x_freexp_altinf,2005,2006 - 2007,482,0.1535,0.82999325,0.0195
v2x_freexp_altinf,2005,2006 - 2007,483,0.09058333333333334,0.8944112916666667,0.0165
v2x_freexp_altinf,2005,2006 - 2007,484,0.0325,0.96217875,0.0055
v2x_freexp_altinf,2005,2006 - 2007,490,0.7945,0.201955125,0.01725
v2x_freexp_altinf,2005,2006 - 2007,500,0.096,0.879931,0.026625
v2x_freexp_altinf,2005,2006 - 2007,501,0.065,0.9289225,0.0065
v2x_freexp_altinf,2005,2006 - 2007,510,0.12375,0.845143125,0.0355
v2x_freexp_altinf,2005,2006 - 2007,516,0.355875,0.6035451250000001,0.063
v2x_freexp_altinf,2005,2006 - 2007,517,0.101,0.872929,0.029
v2x_freexp_altinf,2005,2006 - 2007,520,0.7224583333333332,0.2601953125000001,0.0625
v2x_freexp_altinf,2005,2006 - 2007,522,0.053125,0.9397734375,0.0075
v2x_freexp_altinf,2005,2006 - 2007,530,0.055,0.7231443750000001,0.2347678571428571
v2x_freexp_altinf,2005,2006 - 2007,531,0.0165,0.9835,0
v2x_freexp_altinf,2005,2006 - 2007,540,0.344,0.6468160000000001,0.014
v2x_freexp_altinf,2005,2006 - 2007,541,0.0415,0.95322825,0.0055
v2x_freexp_altinf,2005,2006 - 2007,551,0.0665,0.8569530000000001,0.082
v2x_freexp_altinf,2005,2006 - 2007,552,0.1237,0.6333093125,0.2772916666666666
v2x_freexp_altinf,2005,2006 - 2007,553,0.0975,0.87407125,0.0315
v2x_freexp_altinf,2005,2006 - 2007,560,0.0045,0.96613275,0.0295
v2x_freexp_altinf,2005,2006 - 2007,565,0.0035,0.994507,0.002
v2x_freexp_altinf,2005,2006 - 2007,570,0.0385625,0.949515675,0.0124
v2x_freexp_altinf,2005,2006 - 2007,571,0.0015,0.9985,0
