Measure,Direction,Value
Log-loss,up,0.23694785040473074
Log-loss,down,0.25562523601712744
ROC-AUC,up,0.8400274634781506
ROC-AUC,down,0.8392511455485006
PR-AUC,up,0.368618653656782
PR-AUC,down,0.3724653721108521
