Measure,Direction,Value
Log-loss,up,0.19422451842341568
Log-loss,down,0.21064102637240292
ROC-AUC,up,0.8644432017758001
ROC-AUC,down,0.8581889242098746
PR-AUC,up,0.4458853895230602
PR-AUC,down,0.46005728600616547
