outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,371,0.02666666666666667,0.9571111111111112,0.01666666666666666
v2x_freexp_altinf,2005,2006 - 2007,372,0.05666666666666666,0.9199246913580248,0.02481481481481481
v2x_freexp_altinf,2005,2006 - 2007,373,0.05222222222222222,0.9414592592592592,0.00666666666666666
v2x_freexp_altinf,2005,2006 - 2007,375,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,380,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,385,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,390,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,395,0.00111111111111111,0.9988888888888888,0
v2x_freexp_altinf,2005,2006 - 2007,402,0.00111111111111111,0.9966691358024692,0.00222222222222222
v2x_freexp_altinf,2005,2006 - 2007,404,0.04333333333333333,0.9417851851851852,0.01555555555555555
v2x_freexp_altinf,2005,2006 - 2007,411,0.01444444444444444,0.9833654320987654,0.00222222222222222
v2x_freexp_altinf,2005,2006 - 2007,420,0.00555555555555555,0.9922345679012344,0.00222222222222222
v2x_freexp_altinf,2005,2006 - 2007,432,0.00777777777777777,0.9922222222222222,0
v2x_freexp_altinf,2005,2006 - 2007,433,0,0.9997222222222222,2.777777777777778e-4
v2x_freexp_altinf,2005,2006 - 2007,434,0.00777777777777777,0.9823,0.01
v2x_freexp_altinf,2005,2006 - 2007,435,0.5777777777777777,0.38527777777777783,0.0875
v2x_freexp_altinf,2005,2006 - 2007,436,0.00333333333333333,0.9053978395061728,0.09157407407407406
v2x_freexp_altinf,2005,2006 - 2007,437,0.14666666666666667,0.8485925925925926,0.00555555555555555
v2x_freexp_altinf,2005,2006 - 2007,438,0.04333333333333333,0.9524148148148148,0.00444444444444444
v2x_freexp_altinf,2005,2006 - 2007,439,0.01333333333333333,0.9757037037037036,0.01111111111111111
v2x_freexp_altinf,2005,2006 - 2007,450,0.2611111111111111,0.7000288065843622,0.05259259259259259
v2x_freexp_altinf,2005,2006 - 2007,451,0.00444444444444444,0.9756444444444444,0.02
v2x_freexp_altinf,2005,2006 - 2007,452,0.00555555555555555,0.9933395061728396,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,461,0.3811111111111111,0.5856522633744855,0.0537037037037037
v2x_freexp_altinf,2005,2006 - 2007,471,0.05888888888888888,0.9400654320987656,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,475,0.00444444444444444,0.9944493827160494,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,481,0.02555555555555555,0.9690308641975308,0.00555555555555555
v2x_freexp_altinf,2005,2006 - 2007,482,0.14222222222222222,0.8368098765432098,0.02444444444444444
v2x_freexp_altinf,2005,2006 - 2007,483,0.04777777777777778,0.9490481481481482,0.00333333333333333
v2x_freexp_altinf,2005,2006 - 2007,484,0.01333333333333333,0.9855703703703704,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,490,0.08888888888888889,0.892079012345679,0.02088888888888889
v2x_freexp_altinf,2005,2006 - 2007,500,0.04888888888888889,0.9328814814814816,0.01916666666666666
v2x_freexp_altinf,2005,2006 - 2007,501,0.03222222222222222,0.954874074074074,0.01333333333333333
v2x_freexp_altinf,2005,2006 - 2007,510,0.03111111111111111,0.9503185185185186,0.01916666666666666
v2x_freexp_altinf,2005,2006 - 2007,516,0.19,0.7695,0.05
v2x_freexp_altinf,2005,2006 - 2007,517,0.06111111111111111,0.9242988536155204,0.01553968253968253
v2x_freexp_altinf,2005,2006 - 2007,520,0.17555555555555555,0.7736800411522633,0.06157407407407407
v2x_freexp_altinf,2005,2006 - 2007,522,0.02444444444444444,0.9690518518518516,0.00666666666666666
v2x_freexp_altinf,2005,2006 - 2007,530,0.03222222222222222,0.8223152848591737,0.15030567580567578
v2x_freexp_altinf,2005,2006 - 2007,531,0.02555555555555555,0.95279012345679,0.02222222222222222
v2x_freexp_altinf,2005,2006 - 2007,540,0.08,0.8995555555555556,0.02222222222222222
v2x_freexp_altinf,2005,2006 - 2007,541,0.01666666666666666,0.9800555555555556,0.00333333333333333
v2x_freexp_altinf,2005,2006 - 2007,551,0.03,0.9397503703703703,0.03118518518518518
v2x_freexp_altinf,2005,2006 - 2007,552,0.09,0.668630925925926,0.2652407407407407
v2x_freexp_altinf,2005,2006 - 2007,553,0.04444444444444444,0.9502469135802468,0.00555555555555555
v2x_freexp_altinf,2005,2006 - 2007,560,0.00111111111111111,0.9966691358024692,0.00222222222222222
v2x_freexp_altinf,2005,2006 - 2007,565,0,0.9972222222222222,0.00277777777777777
v2x_freexp_altinf,2005,2006 - 2007,570,0.02333333333333333,0.972325925925926,0.00444444444444444
v2x_freexp_altinf,2005,2006 - 2007,571,0.00111111111111111,0.9988888888888888,0
v2x_freexp_altinf,2005,2006 - 2007,572,0.04,0.951111111111111,0.00925925925925925
v2x_freexp_altinf,2005,2006 - 2007,580,0.05111111111111111,0.9077703703703704,0.04333333333333333
v2x_freexp_altinf,2005,2006 - 2007,581,0.05444444444444444,0.930846913580247,0.01555555555555555
v2x_freexp_altinf,2005,2006 - 2007,590,0,0.9955555555555556,0.00444444444444444
v2x_freexp_altinf,2005,2006 - 2007,600,0.05888888888888888,0.9262973251028808,0.01574074074074074
v2x_freexp_altinf,2005,2006 - 2007,615,0.04777777777777778,0.945874074074074,0.00666666666666666
v2x_freexp_altinf,2005,2006 - 2007,616,0.02888888888888888,0.9689530864197532,0.00222222222222222
v2x_freexp_altinf,2005,2006 - 2007,620,0.00222222222222222,0.9977777777777778,0
v2x_freexp_altinf,2005,2006 - 2007,625,0.11222222222222222,0.8458549382716049,0.04722222222222222
v2x_freexp_altinf,2005,2006 - 2007,630,0.2922222222222222,0.4325439711934157,0.3888703703703704
v2x_freexp_altinf,2005,2006 - 2007,640,0.11222222222222222,0.8507870370370371,0.04166666666666666
v2x_freexp_altinf,2005,2006 - 2007,645,0.2788888888888889,0.6751202469135802,0.06377777777777778
v2x_freexp_altinf,2005,2006 - 2007,651,0.25333333333333335,0.7317333333333332,0.02
v2x_freexp_altinf,2005,2006 - 2007,652,0.02222222222222222,0.9777777777777776,0
v2x_freexp_altinf,2005,2006 - 2007,660,0.3888888888888889,0.5948148148148149,0.02666666666666667
v2x_freexp_altinf,2005,2006 - 2007,663,0.06222222222222222,0.936735802469136,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,666,0.00444444444444444,0.9933432098765432,0.00222222222222222
v2x_freexp_altinf,2005,2006 - 2007,670,0.04555555555555556,0.9466674897119342,0.00814814814814815
v2x_freexp_altinf,2005,2006 - 2007,678,0.01666666666666666,0.9822407407407407,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,690,0.01222222222222222,0.980095061728395,0.00777777777777777
v2x_freexp_altinf,2005,2006 - 2007,694,0.00444444444444444,0.9944493827160494,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,696,0.02111111111111111,0.972362962962963,0.00666666666666666
v2x_freexp_altinf,2005,2006 - 2007,698,0.02111111111111111,0.9582234567901236,0.02111111111111111
v2x_freexp_altinf,2005,2006 - 2007,700,0.1811111111111111,0.7846168724279836,0.04185185185185185
v2x_freexp_altinf,2005,2006 - 2007,701,0.01111111111111111,0.9844938271604938,0.00444444444444444
v2x_freexp_altinf,2005,2006 - 2007,702,0.10555555555555556,0.8662860082304528,0.03148148148148148
v2x_freexp_altinf,2005,2006 - 2007,703,0.32222222222222224,0.5979506172839507,0.11777777777777776
v2x_freexp_altinf,2005,2006 - 2007,704,0.06,0.9253777777777776,0.01555555555555555
v2x_freexp_altinf,2005,2006 - 2007,705,0.02555555555555555,0.9647,0.01
v2x_freexp_altinf,2005,2006 - 2007,710,0.11,0.4746666666666667,0.4666666666666667
v2x_freexp_altinf,2005,2006 - 2007,712,0.00333333333333333,0.994451851851852,0.00222222222222222
v2x_freexp_altinf,2005,2006 - 2007,713,0,0.9955555555555556,0.00444444444444444
v2x_freexp_altinf,2005,2006 - 2007,731,0.01666666666666666,0.9822407407407407,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,732,0,0.9966666666666668,0.00333333333333333
v2x_freexp_altinf,2005,2006 - 2007,740,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,750,0.01777777777777777,0.9469713580246912,0.03588888888888889
v2x_freexp_altinf,2005,2006 - 2007,760,0.65,0.3468888888888889,0.00888888888888888
v2x_freexp_altinf,2005,2006 - 2007,770,0.04111111111111111,0.9487672839506172,0.01055555555555555
v2x_freexp_altinf,2005,2006 - 2007,771,0.03444444444444444,0.9569728395061728,0.00888888888888888
v2x_freexp_altinf,2005,2006 - 2007,775,0.00444444444444444,0.9955555555555556,0
v2x_freexp_altinf,2005,2006 - 2007,780,0.22,0.5811866666666666,0.2548888888888889
v2x_freexp_altinf,2005,2006 - 2007,781,0.44666666666666666,0.4789407407407407,0.13444444444444445
v2x_freexp_altinf,2005,2006 - 2007,790,0.5833333333333334,0.37129629629629624,0.10888888888888888
v2x_freexp_altinf,2005,2006 - 2007,800,0.22,0.49681666666666674,0.36305555555555546
v2x_freexp_altinf,2005,2006 - 2007,811,0.00777777777777777,0.98670987654321,0.00555555555555555
v2x_freexp_altinf,2005,2006 - 2007,812,0.00111111111111111,0.9988888888888888,0
v2x_freexp_altinf,2005,2006 - 2007,816,0.05,0.9408015873015872,0.00968253968253968
v2x_freexp_altinf,2005,2006 - 2007,820,0.27,0.7162111111111111,0.01888888888888889
v2x_freexp_altinf,2005,2006 - 2007,830,0.01111111111111111,0.9888888888888888,0
v2x_freexp_altinf,2005,2006 - 2007,840,0.06222222222222222,0.9179802469135804,0.02111111111111111
v2x_freexp_altinf,2005,2006 - 2007,850,0.03333333333333333,0.9561407407407408,0.01088888888888888
v2x_freexp_altinf,2005,2006 - 2007,860,0.01,0.96525,0.025
v2x_freexp_altinf,2005,2006 - 2007,900,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,910,0,0.9988888888888888,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,920,0,0.9988888888888888,0.00111111111111111
v2x_freexp_altinf,2005,2006 - 2007,940,0.08333333333333333,0.8912037037037036,0.02777777777777777
v2x_freexp_altinf,2005,2006 - 2007,950,0.01666666666666666,0.9778703703703704,0.00555555555555555
v2x_freexp_altinf,2006,2007 - 2008,2,0.20222222222222225,0.7889135802469136,0.01111111111111111
v2x_freexp_altinf,2006,2007 - 2008,20,0,0.9977777777777778,0.00222222222222222
v2x_freexp_altinf,2006,2007 - 2008,40,0.01444444444444444,0.9844604938271604,0.00111111111111111
v2x_freexp_altinf,2006,2007 - 2008,41,0.10333333333333332,0.8528296296296297,0.04888888888888889
v2x_freexp_altinf,2006,2007 - 2008,42,0,0.9966666666666668,0.00333333333333333
v2x_freexp_altinf,2006,2007 - 2008,51,0,0.9966666666666668,0.00333333333333333
v2x_freexp_altinf,2006,2007 - 2008,52,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,53,0.00333333333333333,0.9966666666666668,0
v2x_freexp_altinf,2006,2007 - 2008,70,0.03333333333333333,0.9226296296296296,0.04555555555555556
v2x_freexp_altinf,2006,2007 - 2008,90,0.00555555555555555,0.9922345679012344,0.00222222222222222
v2x_freexp_altinf,2006,2007 - 2008,91,0.01111111111111111,0.9800987654320988,0.00888888888888888
v2x_freexp_altinf,2006,2007 - 2008,92,0.01666666666666666,0.9778703703703704,0.00555555555555555
v2x_freexp_altinf,2006,2007 - 2008,93,0.06444444444444444,0.6101901234567901,0.3477777777777778
v2x_freexp_altinf,2006,2007 - 2008,94,0,0.9955555555555556,0.00444444444444444
v2x_freexp_altinf,2006,2007 - 2008,95,0,0.9933333333333332,0.00666666666666666
v2x_freexp_altinf,2006,2007 - 2008,100,0.08666666666666667,0.833162962962963,0.08777777777777777
v2x_freexp_altinf,2006,2007 - 2008,101,0.18888888888888888,0.7435185185185185,0.08333333333333333
v2x_freexp_altinf,2006,2007 - 2008,110,0.03,0.9452111111111112,0.02555555555555555
v2x_freexp_altinf,2006,2007 - 2008,115,0.00111111111111111,0.9955592592592594,0.00333333333333333
v2x_freexp_altinf,2006,2007 - 2008,130,0.01444444444444444,0.97350987654321,0.01222222222222222
v2x_freexp_altinf,2006,2007 - 2008,135,0,0.9511111111111112,0.04888888888888889
v2x_freexp_altinf,2006,2007 - 2008,140,0.09111111111111111,0.8806123456790124,0.03111111111111111
v2x_freexp_altinf,2006,2007 - 2008,145,0.2922222222222222,0.6063296296296297,0.14333333333333334
v2x_freexp_altinf,2006,2007 - 2008,150,0.00777777777777777,0.980095061728395,0.01222222222222222
v2x_freexp_altinf,2006,2007 - 2008,155,0.00222222222222222,0.991125925925926,0.00666666666666666
v2x_freexp_altinf,2006,2007 - 2008,160,0.00333333333333333,0.9767333333333332,0.02
v2x_freexp_altinf,2006,2007 - 2008,165,0,0.9977777777777778,0.00222222222222222
v2x_freexp_altinf,2006,2007 - 2008,200,0,0.9977777777777778,0.00222222222222222
v2x_freexp_altinf,2006,2007 - 2008,205,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,210,0,0.9911111111111112,0.00888888888888888
v2x_freexp_altinf,2006,2007 - 2008,211,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,212,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,220,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,225,0,0.9988888888888888,0.00111111111111111
v2x_freexp_altinf,2006,2007 - 2008,230,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,235,0,0.9988888888888888,0.00111111111111111
v2x_freexp_altinf,2006,2007 - 2008,260,0,0.9955555555555556,0.00444444444444444
v2x_freexp_altinf,2006,2007 - 2008,290,0,0.9877777777777778,0.01222222222222222
v2x_freexp_altinf,2006,2007 - 2008,305,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,310,0.01333333333333333,0.9384296296296296,0.04888888888888889
v2x_freexp_altinf,2006,2007 - 2008,316,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,317,0,0.9944444444444444,0.00555555555555555
v2x_freexp_altinf,2006,2007 - 2008,325,0.00111111111111111,0.972251851851852,0.02666666666666667
v2x_freexp_altinf,2006,2007 - 2008,339,0.00444444444444444,0.9701135802469136,0.02555555555555555
v2x_freexp_altinf,2006,2007 - 2008,340,0.01,0.9779,0.01222222222222222
v2x_freexp_altinf,2006,2007 - 2008,341,0.29444444444444445,0.6765493827160494,0.04111111111111111
v2x_freexp_altinf,2006,2007 - 2008,343,0.11777777777777776,0.8606567901234567,0.02444444444444444
v2x_freexp_altinf,2006,2007 - 2008,344,0,0.9955555555555556,0.00444444444444444
v2x_freexp_altinf,2006,2007 - 2008,346,0.02777777777777777,0.9614197530864198,0.01111111111111111
v2x_freexp_altinf,2006,2007 - 2008,349,0.00111111111111111,0.9977790123456792,0.00111111111111111
v2x_freexp_altinf,2006,2007 - 2008,350,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,352,0,0.9977777777777778,0.00222222222222222
v2x_freexp_altinf,2006,2007 - 2008,355,0,0.9855555555555556,0.01444444444444444
v2x_freexp_altinf,2006,2007 - 2008,359,0.04333333333333333,0.9417851851851852,0.01555555555555555
v2x_freexp_altinf,2006,2007 - 2008,360,0.06666666666666667,0.9105185185185184,0.02444444444444444
v2x_freexp_altinf,2006,2007 - 2008,365,0.06555555555555556,0.9032962962962964,0.03333333333333333
v2x_freexp_altinf,2006,2007 - 2008,366,0,0.9988888888888888,0.00111111111111111
