Measure,Direction,Value
Log-loss,up,0.24513783207072828
Log-loss,down,0.26640957550110134
ROC-AUC,up,0.8270931243846407
ROC-AUC,down,0.8302082985781425
PR-AUC,up,0.34121852990576884
PR-AUC,down,0.3640497124750803
