Measure,Value
Log-loss_up,0.2001395074723631
Log-loss_down,0.22314804093537421
ROC-AUC_up,0.8645657380634886
ROC-AUC_down,0.8552984721562952
PR-AUC_up,0.4483219078170303
PR-AUC_down,0.45173180753159614
