Measure,Direction,Value
Log-loss,up,0.20085507041735431
Log-loss,down,0.22079955440851476
ROC-AUC,up,0.8502327371563783
ROC-AUC,down,0.8416854933832256
PR-AUC,up,0.3767240384256652
PR-AUC,down,0.3512964040775265
