Measure,Direction,Value
Log-loss,up,0.19145223207270617
Log-loss,down,0.22158211107360257
ROC-AUC,up,0.8650540931955281
ROC-AUC,down,0.8583749969818779
PR-AUC,up,0.4465308881909931
PR-AUC,down,0.4579877405743742
